contest_no,win,comp,policy_index,valence_index,Gender,Age,Race,Job,Political,Party,democrat,republican,resp_pid_7,resp_pid_3_text,resp_mturkid,same_party,mturk_clean
1,0,29,9,3,Female,35,Hispanic,Small Business Owner,None,non-partisan,1,0,1,Democrat,A2XT6L07OGDV1C,1,661
1,1,100,6,6,Female,45,Black,Small Business Owner,State Legislator,non-partisan,1,0,1,Democrat,A2XT6L07OGDV1C,1,661
2,0,100,11,5,Female,55,Asian,Business Executive,Representative in Congress,Republican,1,0,1,Democrat,A2XT6L07OGDV1C,1,661
2,1,100,11,7,Male,45,Asian,Police Officer,None,Republican,1,0,1,Democrat,A2XT6L07OGDV1C,1,661
3,0,91,11,6,Male,55,Hispanic,Business Executive,None,Independent,1,0,1,Democrat,A2XT6L07OGDV1C,1,661
3,1,96,13,6,Female,65,Asian,Small Business Owner,State Legislator,Independent,1,0,1,Democrat,A2XT6L07OGDV1C,1,661
4,0,100,12,6,Male,45,White,Small Business Owner,None,Independent,1,0,1,Democrat,A2XT6L07OGDV1C,0,661
4,1,100,11,6,Female,35,Hispanic,Business Executive,Mayor,Republican,1,0,1,Democrat,A2XT6L07OGDV1C,0,661
5,1,100,10,6,Male,55,Black,Educator,Mayor,Democrat,1,0,1,Democrat,A2XT6L07OGDV1C,0,661
5,0,100,6,6,Male,65,Black,Attorney,Representative in Congress,Independent,1,0,1,Democrat,A2XT6L07OGDV1C,0,661
1,0,0,9,6,Female,45,Asian,Police Officer,City Council Member,non-partisan,1,0,3,Democrat,A2XVOYY8BDEZXF,1,662
1,1,0,9,6,Male,35,Hispanic,Police Officer,City Council Member,non-partisan,1,0,3,Democrat,A2XVOYY8BDEZXF,1,662
2,1,50,10,5,Female,35,Asian,Business Executive,Mayor,non-partisan,1,0,3,Democrat,A2XVOYY8BDEZXF,1,662
2,0,0,10,3,Female,65,Asian,Police Officer,City Council Member,non-partisan,1,0,3,Democrat,A2XVOYY8BDEZXF,1,662
3,0,0,10,5,Male,45,Black,Police Officer,Mayor,non-partisan,1,0,3,Democrat,A2XVOYY8BDEZXF,1,662
3,1,72,6,6,Male,35,Black,Educator,None,non-partisan,1,0,3,Democrat,A2XVOYY8BDEZXF,1,662
4,1,39,9,5,Female,35,Asian,Attorney,None,Independent,1,0,3,Democrat,A2XVOYY8BDEZXF,0,662
4,0,20,10,5,Male,55,Asian,Small Business Owner,Representative in Congress,Republican,1,0,3,Democrat,A2XVOYY8BDEZXF,0,662
5,1,51,12,6,Female,65,Asian,Attorney,Representative in Congress,Independent,1,0,3,Democrat,A2XVOYY8BDEZXF,1,662
5,0,8,11,6,Male,45,Hispanic,Police Officer,None,Independent,1,0,3,Democrat,A2XVOYY8BDEZXF,1,662
1,1,73,7,4,Female,65,Asian,Small Business Owner,City Council Member,non-partisan,0,1,6,Republican,A2Y043PGKEODND,1,663
1,0,67,6,5,Female,65,Black,Educator,State Legislator,non-partisan,0,1,6,Republican,A2Y043PGKEODND,1,663
2,1,60,9,5,Male,35,Black,Business Executive,Mayor,Democrat,0,1,6,Republican,A2Y043PGKEODND,0,663
2,0,72,7,4,Male,65,Asian,Attorney,City Council Member,Independent,0,1,6,Republican,A2Y043PGKEODND,0,663
3,1,69,9,5,Male,45,Asian,Police Officer,City Council Member,non-partisan,0,1,6,Republican,A2Y043PGKEODND,1,663
3,0,71,8,4,Male,35,Hispanic,Small Business Owner,Mayor,non-partisan,0,1,6,Republican,A2Y043PGKEODND,1,663
4,1,62,8,3,Female,55,White,Police Officer,City Council Member,Democrat,0,1,6,Republican,A2Y043PGKEODND,1,663
4,0,53,7,4,Male,45,Black,Small Business Owner,None,Democrat,0,1,6,Republican,A2Y043PGKEODND,1,663
5,1,79,9,5,Female,45,White,Police Officer,Representative in Congress,Independent,0,1,6,Republican,A2Y043PGKEODND,1,663
5,0,77,9,5,Male,65,Asian,Police Officer,City Council Member,Independent,0,1,6,Republican,A2Y043PGKEODND,1,663
1,0,75,7,4,Female,65,Hispanic,Attorney,State Legislator,non-partisan,0,1,5,Republican,A2Y0UPRG8O1UDC,1,664
1,1,90,8,6,Male,35,White,Police Officer,Mayor,non-partisan,0,1,5,Republican,A2Y0UPRG8O1UDC,1,664
2,1,85,8,5,Male,45,Hispanic,Small Business Owner,State Legislator,non-partisan,0,1,5,Republican,A2Y0UPRG8O1UDC,1,664
2,0,80,8,5,Female,65,Hispanic,Small Business Owner,Representative in Congress,non-partisan,0,1,5,Republican,A2Y0UPRG8O1UDC,1,664
3,1,85,9,6,Male,55,Black,Police Officer,State Legislator,Republican,0,1,5,Republican,A2Y0UPRG8O1UDC,0,664
3,0,65,9,3,Female,65,Black,Police Officer,State Legislator,Democrat,0,1,5,Republican,A2Y0UPRG8O1UDC,0,664
4,1,85,9,6,Female,65,White,Small Business Owner,None,Republican,0,1,5,Republican,A2Y0UPRG8O1UDC,0,664
4,0,70,6,3,Female,45,Black,Educator,Mayor,Democrat,0,1,5,Republican,A2Y0UPRG8O1UDC,0,664
5,0,70,8,4,Female,65,Black,Business Executive,Representative in Congress,Democrat,0,1,5,Republican,A2Y0UPRG8O1UDC,1,664
5,1,75,8,4,Male,35,White,Small Business Owner,Mayor,Democrat,0,1,5,Republican,A2Y0UPRG8O1UDC,1,664
1,0,59,8,6,Male,45,Black,Small Business Owner,None,non-partisan,1,0,2,Democrat,A2Y5UD9VD9RKUK,1,665
1,1,84,9,6,Female,35,Black,Attorney,State Legislator,non-partisan,1,0,2,Democrat,A2Y5UD9VD9RKUK,1,665
2,0,60,7,5,Female,65,Asian,Educator,None,non-partisan,1,0,2,Democrat,A2Y5UD9VD9RKUK,1,665
2,1,80,8,5,Female,45,Asian,Attorney,Representative in Congress,non-partisan,1,0,2,Democrat,A2Y5UD9VD9RKUK,1,665
3,0,71,7,6,Female,55,Black,Business Executive,Mayor,Republican,1,0,2,Democrat,A2Y5UD9VD9RKUK,0,665
3,1,84,6,6,Male,45,Hispanic,Educator,Mayor,Democrat,1,0,2,Democrat,A2Y5UD9VD9RKUK,0,665
4,1,81,8,5,Female,55,Black,Attorney,Mayor,Republican,1,0,2,Democrat,A2Y5UD9VD9RKUK,0,665
4,0,72,7,5,Male,35,Asian,Attorney,None,Independent,1,0,2,Democrat,A2Y5UD9VD9RKUK,0,665
5,0,70,8,5,Male,35,Hispanic,Business Executive,City Council Member,non-partisan,1,0,2,Democrat,A2Y5UD9VD9RKUK,1,665
5,1,88,8,6,Female,55,Hispanic,Attorney,Representative in Congress,non-partisan,1,0,2,Democrat,A2Y5UD9VD9RKUK,1,665
1,0,36,5,2,Female,45,Black,Attorney,None,Independent,1,0,1,Democrat,A2Y8DDXB8PHHER,0,666
1,1,63,9,6,Male,55,Hispanic,Small Business Owner,State Legislator,Republican,1,0,1,Democrat,A2Y8DDXB8PHHER,0,666
2,0,10,8,3,Male,65,Asian,Attorney,City Council Member,Independent,1,0,1,Democrat,A2Y8DDXB8PHHER,0,666
2,1,93,8,6,Female,35,Hispanic,Educator,Representative in Congress,Democrat,1,0,1,Democrat,A2Y8DDXB8PHHER,0,666
3,1,50,8,5,Male,35,White,Police Officer,State Legislator,Republican,1,0,1,Democrat,A2Y8DDXB8PHHER,1,666
3,0,50,10,5,Male,65,Asian,Police Officer,State Legislator,Republican,1,0,1,Democrat,A2Y8DDXB8PHHER,1,666
4,1,78,9,3,Female,65,White,Small Business Owner,State Legislator,non-partisan,1,0,1,Democrat,A2Y8DDXB8PHHER,1,666
4,0,47,7,6,Female,65,Asian,Business Executive,City Council Member,non-partisan,1,0,1,Democrat,A2Y8DDXB8PHHER,1,666
5,0,31,10,3,Male,65,Asian,Attorney,Representative in Congress,non-partisan,1,0,1,Democrat,A2Y8DDXB8PHHER,1,666
5,1,72,6,6,Male,35,Asian,Police Officer,Mayor,non-partisan,1,0,1,Democrat,A2Y8DDXB8PHHER,1,666
1,1,64,8,3,Female,35,Hispanic,Educator,Mayor,non-partisan,1,0,3,Democrat,A2Y996RQKRHZZ8,1,667
1,0,47,8,5,Female,65,Black,Police Officer,Mayor,non-partisan,1,0,3,Democrat,A2Y996RQKRHZZ8,1,667
2,1,77,8,5,Female,65,Asian,Business Executive,State Legislator,Democrat,1,0,3,Democrat,A2Y996RQKRHZZ8,1,667
2,0,55,8,5,Female,45,White,Business Executive,None,Democrat,1,0,3,Democrat,A2Y996RQKRHZZ8,1,667
3,1,73,9,5,Male,35,Hispanic,Police Officer,Representative in Congress,Independent,1,0,3,Democrat,A2Y996RQKRHZZ8,0,667
3,0,77,9,5,Male,35,Asian,Educator,State Legislator,Republican,1,0,3,Democrat,A2Y996RQKRHZZ8,0,667
4,1,78,9,4,Female,45,Hispanic,Attorney,State Legislator,non-partisan,1,0,3,Democrat,A2Y996RQKRHZZ8,1,667
4,0,41,8,4,Male,35,White,Educator,None,non-partisan,1,0,3,Democrat,A2Y996RQKRHZZ8,1,667
5,0,53,8,3,Male,45,Hispanic,Educator,None,Democrat,1,0,3,Democrat,A2Y996RQKRHZZ8,1,667
5,1,59,8,3,Female,35,Black,Police Officer,City Council Member,Democrat,1,0,3,Democrat,A2Y996RQKRHZZ8,1,667
1,0,70,11,5,Female,45,Hispanic,Business Executive,State Legislator,Democrat,1,0,3,Democrat,A2YC8AJBWGLM3X,0,668
1,1,84,8,5,Male,65,Hispanic,Educator,City Council Member,Independent,1,0,3,Democrat,A2YC8AJBWGLM3X,0,668
2,1,96,8,5,Male,35,White,Small Business Owner,Mayor,Democrat,1,0,3,Democrat,A2YC8AJBWGLM3X,1,668
2,0,64,8,5,Female,65,Asian,Police Officer,None,Democrat,1,0,3,Democrat,A2YC8AJBWGLM3X,1,668
3,0,62,9,5,Male,65,Hispanic,Small Business Owner,Representative in Congress,non-partisan,1,0,3,Democrat,A2YC8AJBWGLM3X,1,668
3,1,69,9,5,Female,45,Asian,Business Executive,State Legislator,non-partisan,1,0,3,Democrat,A2YC8AJBWGLM3X,1,668
4,1,71,8,4,Male,55,Asian,Small Business Owner,City Council Member,non-partisan,1,0,3,Democrat,A2YC8AJBWGLM3X,1,668
4,0,61,9,4,Male,65,Hispanic,Business Executive,City Council Member,non-partisan,1,0,3,Democrat,A2YC8AJBWGLM3X,1,668
5,1,76,8,4,Female,45,White,Attorney,City Council Member,non-partisan,1,0,3,Democrat,A2YC8AJBWGLM3X,1,668
5,0,74,8,4,Male,35,White,Educator,State Legislator,non-partisan,1,0,3,Democrat,A2YC8AJBWGLM3X,1,668
1,0,60,7,5,Male,35,Black,Attorney,Representative in Congress,Democrat,1,0,1,Democrat,A2YCMT5BPA0AG9,1,669
1,1,71,9,5,Female,35,Asian,Educator,Representative in Congress,Democrat,1,0,1,Democrat,A2YCMT5BPA0AG9,1,669
2,1,48,7,4,Male,45,White,Educator,State Legislator,Republican,1,0,1,Democrat,A2YCMT5BPA0AG9,0,669
2,0,48,8,5,Male,55,Black,Police Officer,Mayor,Democrat,1,0,1,Democrat,A2YCMT5BPA0AG9,0,669
3,1,58,7,4,Male,65,Asian,Small Business Owner,None,non-partisan,1,0,1,Democrat,A2YCMT5BPA0AG9,1,669
3,0,58,7,5,Male,55,Hispanic,Police Officer,None,non-partisan,1,0,1,Democrat,A2YCMT5BPA0AG9,1,669
4,1,63,9,5,Male,55,Black,Police Officer,Mayor,Democrat,1,0,1,Democrat,A2YCMT5BPA0AG9,0,669
4,0,64,9,5,Male,65,White,Attorney,City Council Member,Independent,1,0,1,Democrat,A2YCMT5BPA0AG9,0,669
5,0,38,8,5,Male,35,White,Police Officer,State Legislator,Republican,1,0,1,Democrat,A2YCMT5BPA0AG9,0,669
5,1,61,9,6,Male,55,Hispanic,Attorney,City Council Member,Democrat,1,0,1,Democrat,A2YCMT5BPA0AG9,0,669
1,0,50,8,4,Male,35,Asian,Police Officer,Representative in Congress,Democrat,0,0,4,Independent,A2YHJPNIWHJBH1,0,670
1,1,50,8,4,Female,35,Asian,Small Business Owner,Mayor,Republican,0,0,4,Independent,A2YHJPNIWHJBH1,0,670
2,1,50,8,4,Male,65,Asian,Attorney,City Council Member,Independent,0,0,4,Independent,A2YHJPNIWHJBH1,0,670
2,0,50,8,4,Male,45,Black,Business Executive,City Council Member,Republican,0,0,4,Independent,A2YHJPNIWHJBH1,0,670
3,1,50,8,4,Female,45,Black,Educator,City Council Member,non-partisan,0,0,4,Independent,A2YHJPNIWHJBH1,1,670
3,0,50,8,4,Female,65,Black,Small Business Owner,None,non-partisan,0,0,4,Independent,A2YHJPNIWHJBH1,1,670
4,0,50,8,4,Male,65,Black,Business Executive,Representative in Congress,non-partisan,0,0,4,Independent,A2YHJPNIWHJBH1,1,670
4,1,50,8,4,Female,45,Hispanic,Business Executive,City Council Member,non-partisan,0,0,4,Independent,A2YHJPNIWHJBH1,1,670
5,1,50,8,4,Female,65,Asian,Small Business Owner,State Legislator,non-partisan,0,0,4,Independent,A2YHJPNIWHJBH1,1,670
5,0,50,8,4,Female,65,Asian,Police Officer,City Council Member,non-partisan,0,0,4,Independent,A2YHJPNIWHJBH1,1,670
1,1,81,7,5,Male,65,White,Attorney,Representative in Congress,non-partisan,1,0,2,Democrat,A2YM4YT817VTYA,1,671
1,0,61,9,5,Male,65,White,Small Business Owner,State Legislator,non-partisan,1,0,2,Democrat,A2YM4YT817VTYA,1,671
2,1,81,8,5,Male,55,Asian,Attorney,Mayor,Independent,1,0,2,Democrat,A2YM4YT817VTYA,0,671
2,0,81,7,5,Male,65,Hispanic,Educator,State Legislator,Democrat,1,0,2,Democrat,A2YM4YT817VTYA,0,671
3,0,80,9,5,Male,35,Black,Educator,Representative in Congress,non-partisan,1,0,2,Democrat,A2YM4YT817VTYA,1,671
3,1,86,9,5,Male,35,Hispanic,Business Executive,City Council Member,non-partisan,1,0,2,Democrat,A2YM4YT817VTYA,1,671
4,1,81,8,4,Male,45,Asian,Educator,Representative in Congress,non-partisan,1,0,2,Democrat,A2YM4YT817VTYA,1,671
4,0,29,8,4,Male,45,Hispanic,Small Business Owner,None,non-partisan,1,0,2,Democrat,A2YM4YT817VTYA,1,671
5,1,100,8,4,Male,35,Asian,Attorney,Mayor,non-partisan,1,0,2,Democrat,A2YM4YT817VTYA,1,671
5,0,72,8,4,Male,45,Asian,Small Business Owner,None,non-partisan,1,0,2,Democrat,A2YM4YT817VTYA,1,671
1,1,100,9,6,Male,65,Black,Small Business Owner,Representative in Congress,Republican,1,0,2,Democrat,A2YO0CG93Y1N69,0,672
1,0,100,9,6,Male,55,White,Attorney,Mayor,Democrat,1,0,2,Democrat,A2YO0CG93Y1N69,0,672
2,1,100,9,6,Female,55,Black,Educator,State Legislator,Democrat,1,0,2,Democrat,A2YO0CG93Y1N69,0,672
2,0,80,8,6,Male,45,Hispanic,Small Business Owner,City Council Member,Republican,1,0,2,Democrat,A2YO0CG93Y1N69,0,672
3,1,100,8,5,Male,65,White,Educator,Representative in Congress,Independent,1,0,2,Democrat,A2YO0CG93Y1N69,1,672
3,0,90,8,5,Female,55,Hispanic,Business Executive,City Council Member,Independent,1,0,2,Democrat,A2YO0CG93Y1N69,1,672
4,0,90,8,5,Male,65,Black,Attorney,City Council Member,Democrat,1,0,2,Democrat,A2YO0CG93Y1N69,0,672
4,1,100,8,5,Male,55,Black,Attorney,Representative in Congress,Independent,1,0,2,Democrat,A2YO0CG93Y1N69,0,672
5,0,50,8,5,Female,65,White,Educator,None,Independent,1,0,2,Democrat,A2YO0CG93Y1N69,0,672
5,1,100,8,6,Female,45,Asian,Educator,Mayor,Democrat,1,0,2,Democrat,A2YO0CG93Y1N69,0,672
1,0,75,7,3,Female,65,Black,Educator,State Legislator,Independent,0,1,7,Republican,A2Z5827K6CYE1Q,0,673
1,1,90,9,6,Male,45,Asian,Attorney,State Legislator,Democrat,0,1,7,Republican,A2Z5827K6CYE1Q,0,673
2,1,70,12,6,Male,55,Hispanic,Small Business Owner,None,Republican,0,1,7,Republican,A2Z5827K6CYE1Q,1,673
2,0,83,8,3,Male,55,Hispanic,Educator,Mayor,Republican,0,1,7,Republican,A2Z5827K6CYE1Q,1,673
3,0,68,8,3,Male,55,Asian,Small Business Owner,Representative in Congress,Independent,0,1,7,Republican,A2Z5827K6CYE1Q,1,673
3,1,74,8,4,Male,65,White,Attorney,None,Independent,0,1,7,Republican,A2Z5827K6CYE1Q,1,673
4,1,71,6,3,Female,65,Hispanic,Small Business Owner,State Legislator,Democrat,0,1,7,Republican,A2Z5827K6CYE1Q,0,673
4,0,80,7,4,Female,55,Black,Attorney,None,Independent,0,1,7,Republican,A2Z5827K6CYE1Q,0,673
5,1,65,5,5,Male,65,Black,Police Officer,Representative in Congress,Democrat,0,1,7,Republican,A2Z5827K6CYE1Q,1,673
5,0,51,5,5,Female,55,Asian,Police Officer,City Council Member,Democrat,0,1,7,Republican,A2Z5827K6CYE1Q,1,673
1,0,33,3,6,Female,65,Asian,Police Officer,None,non-partisan,0,0,4,Independent,A2Z8V9A1E4N3ND,1,674
1,1,45,9,3,Male,65,Hispanic,Business Executive,None,non-partisan,0,0,4,Independent,A2Z8V9A1E4N3ND,1,674
2,0,29,5,5,Female,35,White,Police Officer,Mayor,non-partisan,0,0,4,Independent,A2Z8V9A1E4N3ND,1,674
2,1,77,10,5,Female,55,White,Small Business Owner,None,non-partisan,0,0,4,Independent,A2Z8V9A1E4N3ND,1,674
3,0,81,8,7,Male,65,Hispanic,Police Officer,State Legislator,non-partisan,0,0,4,Independent,A2Z8V9A1E4N3ND,1,674
3,1,59,9,3,Female,65,Asian,Educator,State Legislator,non-partisan,0,0,4,Independent,A2Z8V9A1E4N3ND,1,674
4,1,100,8,7,Male,45,Black,Educator,Representative in Congress,non-partisan,0,0,4,Independent,A2Z8V9A1E4N3ND,1,674
4,0,58,8,5,Male,65,Black,Attorney,Mayor,non-partisan,0,0,4,Independent,A2Z8V9A1E4N3ND,1,674
5,1,100,9,6,Male,65,Hispanic,Small Business Owner,Representative in Congress,non-partisan,0,0,4,Independent,A2Z8V9A1E4N3ND,1,674
5,0,20,4,6,Female,45,White,Educator,City Council Member,non-partisan,0,0,4,Independent,A2Z8V9A1E4N3ND,1,674
1,1,92,7,5,Female,55,Black,Educator,Representative in Congress,Independent,1,0,2,Democrat,A2ZDK0Y5466BXN,0,675
1,0,82,8,6,Male,55,Hispanic,Business Executive,State Legislator,Republican,1,0,2,Democrat,A2ZDK0Y5466BXN,0,675
2,1,95,7,7,Male,35,Black,Educator,Representative in Congress,non-partisan,1,0,2,Democrat,A2ZDK0Y5466BXN,1,675
2,0,90,9,5,Female,65,Black,Attorney,Representative in Congress,non-partisan,1,0,2,Democrat,A2ZDK0Y5466BXN,1,675
3,0,71,8,6,Female,45,Hispanic,Police Officer,None,non-partisan,1,0,2,Democrat,A2ZDK0Y5466BXN,1,675
3,1,90,8,5,Female,65,Hispanic,Small Business Owner,Mayor,non-partisan,1,0,2,Democrat,A2ZDK0Y5466BXN,1,675
4,1,90,8,6,Male,55,Asian,Educator,Mayor,Republican,1,0,2,Democrat,A2ZDK0Y5466BXN,0,675
4,0,75,7,5,Female,55,White,Educator,None,Democrat,1,0,2,Democrat,A2ZDK0Y5466BXN,0,675
5,0,85,8,6,Female,55,White,Police Officer,State Legislator,non-partisan,1,0,2,Democrat,A2ZDK0Y5466BXN,1,675
5,1,90,8,5,Male,45,Asian,Attorney,City Council Member,non-partisan,1,0,2,Democrat,A2ZDK0Y5466BXN,1,675
1,1,75,9,5,Female,45,Hispanic,Small Business Owner,State Legislator,Independent,1,0,2,Democrat,A2ZLJ54OLKRIN3,0,676
1,0,65,8,6,Male,65,Hispanic,Attorney,Representative in Congress,Republican,1,0,2,Democrat,A2ZLJ54OLKRIN3,0,676
2,1,80,8,6,Female,35,Black,Attorney,Representative in Congress,non-partisan,1,0,2,Democrat,A2ZLJ54OLKRIN3,1,676
2,0,65,8,3,Female,35,Hispanic,Educator,State Legislator,non-partisan,1,0,2,Democrat,A2ZLJ54OLKRIN3,1,676
3,0,55,8,3,Male,35,Hispanic,Educator,None,Democrat,1,0,2,Democrat,A2ZLJ54OLKRIN3,1,676
3,1,80,8,6,Female,55,White,Police Officer,Representative in Congress,Democrat,1,0,2,Democrat,A2ZLJ54OLKRIN3,1,676
4,1,70,9,6,Male,65,Black,Educator,Mayor,Republican,1,0,2,Democrat,A2ZLJ54OLKRIN3,1,676
4,0,60,9,5,Male,45,White,Small Business Owner,State Legislator,Republican,1,0,2,Democrat,A2ZLJ54OLKRIN3,1,676
5,0,81,8,5,Male,65,Asian,Educator,Mayor,Democrat,1,0,2,Democrat,A2ZLJ54OLKRIN3,1,676
5,1,80,8,5,Male,65,White,Small Business Owner,Mayor,Democrat,1,0,2,Democrat,A2ZLJ54OLKRIN3,1,676
1,0,70,9,4,Male,55,White,Educator,State Legislator,Republican,1,0,3,Democrat,A2ZNUY54PTBUD8,0,677
1,1,70,8,5,Male,65,Black,Police Officer,State Legislator,Independent,1,0,3,Democrat,A2ZNUY54PTBUD8,0,677
2,1,72,8,4,Female,45,Asian,Police Officer,State Legislator,Democrat,1,0,3,Democrat,A2ZNUY54PTBUD8,0,677
2,0,72,9,4,Male,35,Asian,Business Executive,City Council Member,Republican,1,0,3,Democrat,A2ZNUY54PTBUD8,0,677
3,1,72,8,5,Female,65,Black,Police Officer,State Legislator,non-partisan,1,0,3,Democrat,A2ZNUY54PTBUD8,1,677
3,0,72,8,4,Male,55,Black,Small Business Owner,Representative in Congress,non-partisan,1,0,3,Democrat,A2ZNUY54PTBUD8,1,677
4,1,59,8,4,Female,35,White,Small Business Owner,None,Democrat,1,0,3,Democrat,A2ZNUY54PTBUD8,0,677
4,0,59,9,4,Male,35,White,Business Executive,State Legislator,Republican,1,0,3,Democrat,A2ZNUY54PTBUD8,0,677
5,0,71,8,4,Female,35,Hispanic,Business Executive,City Council Member,non-partisan,1,0,3,Democrat,A2ZNUY54PTBUD8,1,677
5,1,71,8,4,Female,55,Black,Business Executive,State Legislator,non-partisan,1,0,3,Democrat,A2ZNUY54PTBUD8,1,677
1,0,61,9,6,Male,55,Asian,Business Executive,Mayor,Independent,0,0,4,Independent,A2ZOFUJSX6RO46,1,678
1,1,86,7,7,Female,45,Black,Business Executive,Mayor,Independent,0,0,4,Independent,A2ZOFUJSX6RO46,1,678
2,1,90,7,7,Female,65,Black,Attorney,State Legislator,non-partisan,0,0,4,Independent,A2ZOFUJSX6RO46,1,678
2,0,96,8,7,Female,55,Black,Business Executive,Representative in Congress,non-partisan,0,0,4,Independent,A2ZOFUJSX6RO46,1,678
3,1,92,7,6,Female,35,Black,Business Executive,None,Republican,0,0,4,Independent,A2ZOFUJSX6RO46,0,678
3,0,100,9,6,Male,65,Hispanic,Attorney,City Council Member,Independent,0,0,4,Independent,A2ZOFUJSX6RO46,0,678
4,0,75,8,5,Female,55,White,Police Officer,Mayor,non-partisan,0,0,4,Independent,A2ZOFUJSX6RO46,1,678
4,1,97,6,6,Female,35,Black,Business Executive,City Council Member,non-partisan,0,0,4,Independent,A2ZOFUJSX6RO46,1,678
5,0,81,7,6,Female,45,Asian,Educator,None,Republican,0,0,4,Independent,A2ZOFUJSX6RO46,0,678
5,1,94,7,6,Male,65,Black,Business Executive,Mayor,Independent,0,0,4,Independent,A2ZOFUJSX6RO46,0,678
1,1,77,10,5,Female,65,Hispanic,Attorney,City Council Member,Independent,0,1,6,Republican,A2ZT5S8DHRK8X9,1,679
1,0,66,8,7,Male,65,Asian,Business Executive,None,Independent,0,1,6,Republican,A2ZT5S8DHRK8X9,1,679
2,0,65,8,5,Male,45,Hispanic,Business Executive,City Council Member,non-partisan,0,1,6,Republican,A2ZT5S8DHRK8X9,1,679
2,1,79,7,6,Male,65,Black,Small Business Owner,State Legislator,non-partisan,0,1,6,Republican,A2ZT5S8DHRK8X9,1,679
3,1,88,12,6,Male,35,Hispanic,Business Executive,State Legislator,non-partisan,0,1,6,Republican,A2ZT5S8DHRK8X9,1,679
3,0,75,10,3,Male,35,Hispanic,Police Officer,Representative in Congress,non-partisan,0,1,6,Republican,A2ZT5S8DHRK8X9,1,679
4,0,41,4,3,Female,45,Asian,Police Officer,Representative in Congress,Democrat,0,1,6,Republican,A2ZT5S8DHRK8X9,0,679
4,1,71,9,5,Female,65,Black,Business Executive,City Council Member,Independent,0,1,6,Republican,A2ZT5S8DHRK8X9,0,679
5,1,90,11,6,Male,45,Asian,Small Business Owner,Mayor,non-partisan,0,1,6,Republican,A2ZT5S8DHRK8X9,1,679
5,0,75,9,5,Female,45,White,Educator,City Council Member,non-partisan,0,1,6,Republican,A2ZT5S8DHRK8X9,1,679
1,1,70,11,6,Female,55,Asian,Small Business Owner,City Council Member,non-partisan,0,1,7,Republican,A301OC6DURSQ5W,1,680
1,0,59,10,5,Male,35,Asian,Business Executive,None,non-partisan,0,1,7,Republican,A301OC6DURSQ5W,1,680
2,0,59,8,3,Female,35,Hispanic,Educator,None,non-partisan,0,1,7,Republican,A301OC6DURSQ5W,1,680
2,1,79,10,6,Male,35,Hispanic,Business Executive,State Legislator,non-partisan,0,1,7,Republican,A301OC6DURSQ5W,1,680
3,0,8,2,1,Female,65,Hispanic,Police Officer,None,Democrat,0,1,7,Republican,A301OC6DURSQ5W,1,680
3,1,13,2,1,Male,35,Hispanic,Business Executive,Mayor,Democrat,0,1,7,Republican,A301OC6DURSQ5W,1,680
4,0,38,6,3,Male,55,Black,Attorney,State Legislator,non-partisan,0,1,7,Republican,A301OC6DURSQ5W,1,680
4,1,51,8,5,Female,55,Hispanic,Educator,Representative in Congress,non-partisan,0,1,7,Republican,A301OC6DURSQ5W,1,680
5,1,81,10,5,Female,35,Hispanic,Educator,City Council Member,Independent,0,1,7,Republican,A301OC6DURSQ5W,1,680
5,0,70,9,3,Male,65,White,Business Executive,Representative in Congress,Independent,0,1,7,Republican,A301OC6DURSQ5W,1,680
1,0,47,7,4,Male,65,Black,Police Officer,City Council Member,non-partisan,1,0,2,Democrat,A3037FNBVPPAY9,1,681
1,1,53,7,4,Male,45,White,Attorney,Representative in Congress,non-partisan,1,0,2,Democrat,A3037FNBVPPAY9,1,681
2,1,77,9,4,Female,35,White,Attorney,Mayor,non-partisan,1,0,2,Democrat,A3037FNBVPPAY9,1,681
2,0,16,7,4,Female,55,Asian,Police Officer,None,non-partisan,1,0,2,Democrat,A3037FNBVPPAY9,1,681
3,0,56,7,4,Male,65,White,Business Executive,Representative in Congress,Independent,1,0,2,Democrat,A3037FNBVPPAY9,0,681
3,1,53,7,4,Male,45,White,Small Business Owner,Mayor,Republican,1,0,2,Democrat,A3037FNBVPPAY9,0,681
4,0,58,7,5,Female,45,White,Business Executive,Representative in Congress,Independent,1,0,2,Democrat,A3037FNBVPPAY9,0,681
4,1,64,7,4,Male,55,Asian,Police Officer,City Council Member,Democrat,1,0,2,Democrat,A3037FNBVPPAY9,0,681
5,1,47,8,4,Male,35,Hispanic,Police Officer,Representative in Congress,non-partisan,1,0,2,Democrat,A3037FNBVPPAY9,1,681
5,0,40,8,4,Female,65,Asian,Business Executive,State Legislator,non-partisan,1,0,2,Democrat,A3037FNBVPPAY9,1,681
1,1,91,6,5,Male,55,White,Educator,State Legislator,Independent,0,1,6,Republican,A3056EIAMR68GJ,0,682
1,0,91,7,4,Female,55,Asian,Attorney,State Legislator,Republican,0,1,6,Republican,A3056EIAMR68GJ,0,682
2,0,80,6,6,Male,35,Black,Small Business Owner,None,Democrat,0,1,6,Republican,A3056EIAMR68GJ,0,682
2,1,91,7,6,Female,55,Hispanic,Small Business Owner,State Legislator,Independent,0,1,6,Republican,A3056EIAMR68GJ,0,682
3,1,85,6,5,Male,45,Black,Educator,None,Independent,0,1,6,Republican,A3056EIAMR68GJ,0,682
