"","Duration (in seconds)","Finished","ResponseId","Q578","Q579","Q580","Q271_1","Q271_2","Q271_3","Q271_4","Q271_5","Q271_6","Q78","Q77","Q76","Q75","Q74","Q581","F-1-1","F-1-1-1","F-1-2","F-1-1-2","F-1-3","F-1-1-3","F-1-2-1","F-1-2-2","F-1-2-3","F-2-1","F-2-1-1","F-2-2","F-2-1-2","F-2-3","F-2-1-3","F-2-2-1","F-2-2-2","F-2-2-3","F-3-1","F-3-1-1","F-3-2","F-3-1-2","F-3-3","F-3-1-3","F-3-2-1","F-3-2-2","F-3-2-3","duration_mins","scaled_duration_mins"
"98",770,TRUE,"R_1P8k09xWYKYiMnu","Candidate 2","Candidate 2","Candidate 2","7 - Strongly agree","1 - Strongly disagree","5","5","6","3","Self-employed","Caucasian","High school degree/ GED","Male",46,"Sometimes","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","None","Acceptance of immigrants conditional on certain requisites","No proceedings","Approximately 20 years","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 20 years","Acceptance of immigrants conditional on certain requisites","The candidate has been convicted of corruption","None","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","None","Acceptance of immigrants conditional on certain requisites","The candidate is under investigation for corruption","None",12.8333333333333,-0.046073913970623
"99",957,TRUE,"R_XH7OWyQYO8KqUgh","Candidate 1","Candidate 1","Candidate 1","5","2","3","6","1 - Strongly disagree","6","Employed, full-time","Caucasian","Master degree","Male",52,"Never","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border","Approximately 20 years","The candidate has been convicted of corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 20 years","Penal proceedings","No proceedings","Acceptance of immigrants conditional on certain requisites","Approximately 20 years","The candidate is under investigation for corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate is under investigation for corruption","Collective expulsion of immigrants and closure of the border","None","The candidate is under investigation for corruption",15.95,0.180384594122617
"100",572,TRUE,"R_R9Wt2UTRFBBGEQ9","Candidate 1","Candidate 2","Candidate 1","7 - Strongly agree","3","5","6","2","7 - Strongly agree","Employed, full-time","Caucasian","Bachelor degree","Male",52,"Sometimes","Penal proceedings","No proceedings","Past Political Experience","Approximately 10 years","Policy Proposal","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","None","Welcome immigrants and organise human corridor","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Welcome immigrants and organise human corridor","No proceedings","Approximately 20 years","Welcome immigrants and organise human corridor","Penal proceedings","No proceedings","Past Political Experience","Approximately 20 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","None","Acceptance of immigrants conditional on certain requisites",9.53333333333333,-0.28585351077523
"101",563,TRUE,"R_79dhTHI0kf3dxJf","Candidate 2","Candidate 2","Candidate 1","5","4 - Neither agree nor disagree","5","3","2","4 - Neither agree nor disagree","Employed, full-time","Caucasian","Master degree","Male",54,"Regularly","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","No proceedings","Approximately 20 years","Welcome immigrants and organise human corridor","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","None","Policy Proposal","Collective expulsion of immigrants and closure of the border","No proceedings","None","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","Past Political Experience","Approximately 10 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","Approximately 20 years","Welcome immigrants and organise human corridor",9.38333333333333,-0.296752583357258
"102",721,TRUE,"R_9StrhkPjI8QOL61","Candidate 1","Candidate 1","Candidate 1","7 - Strongly agree","4 - Neither agree nor disagree","5","3","7 - Strongly agree","7 - Strongly agree","Self-employed","Caucasian","High school degree/ GED","Female",22,"Never","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Welcome immigrants and organise human corridor","Approximately 10 years","The candidate is under investigation for corruption","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Welcome immigrants and organise human corridor","None","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 10 years","Penal proceedings","No proceedings","Policy Proposal","Welcome immigrants and organise human corridor","Approximately 20 years","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites",12.0166666666667,-0.10541330913944
"103",599,TRUE,"R_1PXhrkLEn07iihJ","Candidate 2","Candidate 2","Candidate 1","7 - Strongly agree","2","7 - Strongly agree","4 - Neither agree nor disagree","4 - Neither agree nor disagree","6","Unemployed","African American","Bachelor degree","Female",47,"Regularly","Past Political Experience","None","Penal proceedings","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Approximately 20 years","No proceedings","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","None","No proceedings","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Welcome immigrants and organise human corridor","None","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites",9.98333333333333,-0.253156293029147
"104",804,TRUE,"R_3hbG0oT83SrrYH9","Candidate 1","Candidate 2","Candidate 1","7 - Strongly agree","3","6","2","1 - Strongly disagree","7 - Strongly agree","Employed, full-time","Caucasian","Some college","Male",32,"Never","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","No proceedings","Past Political Experience","None","Collective expulsion of immigrants and closure of the border","No proceedings","Approximately 10 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 10 years","Welcome immigrants and organise human corridor","No proceedings","None","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","Approximately 10 years","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","Approximately 10 years",13.4,-0.00489963977185217
"105",893,TRUE,"R_sCikfycUFZMqrWp","Candidate 1","Candidate 1","Candidate 2","7 - Strongly agree","1 - Strongly disagree","7 - Strongly agree","1 - Strongly disagree","1 - Strongly disagree","7 - Strongly agree","Employed, full-time","Caucasian","Some college","Female",52,"Regularly","Past Political Experience","Approximately 20 years","Penal proceedings","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Approximately 10 years","The candidate has been convicted of corruption","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Approximately 20 years","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Welcome immigrants and organise human corridor","Approximately 10 years","No proceedings","Acceptance of immigrants conditional on certain requisites",14.8833333333333,0.102880077983754
"106",479,TRUE,"R_2BhfMYRs3bOB6bN","Candidate 2","Candidate 1","Candidate 1","7 - Strongly agree","2","7 - Strongly agree","3","2","2","Unemployed","Caucasian","Bachelor degree","Male",42,"Never","Past Political Experience","None","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate is under investigation for corruption","Approximately 20 years","Welcome immigrants and organise human corridor","No proceedings","Past Political Experience","Approximately 20 years","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","No proceedings","None","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","Past Political Experience","None","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate has been convicted of corruption","None","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption",7.98333333333333,-0.398477260789515
"107",707,TRUE,"R_e2ItnX1YZTXhBdv","Candidate 1","Candidate 2","Candidate 1","7 - Strongly agree","5","6","5","2","4 - Neither agree nor disagree","Self-employed","Caucasian","Bachelor degree","Female",38,"Sometimes","Penal proceedings","No proceedings","Past Political Experience","None","Policy Proposal","Welcome immigrants and organise human corridor","The candidate is under investigation for corruption","None","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","The candidate has been convicted of corruption","Approximately 20 years","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","The candidate is under investigation for corruption","None","Collective expulsion of immigrants and closure of the border",11.7833333333333,-0.122367422044816
"108",994,TRUE,"R_1FIIExsKDJ2afT7","Candidate 1","Candidate 1","Candidate 1","7 - Strongly agree","7 - Strongly agree","2","7 - Strongly agree","2","6","Self-employed","Caucasian","High school degree/ GED","Male",59,"Sometimes","Past Political Experience","Approximately 20 years","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate has been convicted of corruption","Approximately 10 years","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","None","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","None","Acceptance of immigrants conditional on certain requisites","The candidate has been convicted of corruption",16.5666666666667,0.225191892515397
"109",648,TRUE,"R_3CHgvGEdK8nYxwJ","Candidate 2","Candidate 1","Candidate 2","7 - Strongly agree","1 - Strongly disagree","6","4 - Neither agree nor disagree","4 - Neither agree nor disagree","6","Employed, full-time","Caucasian","PhD, JD, MD","Female",62,"Sometimes","Past Political Experience","None","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","Approximately 10 years","Welcome immigrants and organise human corridor","No proceedings","Past Political Experience","Approximately 20 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","None","Collective expulsion of immigrants and closure of the border","The candidate is under investigation for corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","Approximately 10 years","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption",10.8,-0.19381689786033
"110",850,TRUE,"R_2uUTneUp1DzofJr","Candidate 2","Candidate 1","Candidate 1","2","6","4 - Neither agree nor disagree","4 - Neither agree nor disagree","5","5","Employed, full-time","Caucasian","Some college","Female",28,"Sometimes","Penal proceedings","No proceedings","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 20 years","No proceedings","Collective expulsion of immigrants and closure of the border","Approximately 20 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","None","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites","Approximately 10 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","None","The candidate is under investigation for corruption","Welcome immigrants and organise human corridor","None",14.1666666666667,0.0508067312029554
"111",621,TRUE,"R_2w4tnPrnafGlYqF","Candidate 1","Candidate 2","Candidate 1","4 - Neither agree nor disagree","5","2","3","2","4 - Neither agree nor disagree","Student","Caucasian","Bachelor degree","Male",22,"Regularly","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Welcome immigrants and organise human corridor","Approximately 20 years","The candidate is under investigation for corruption","Collective expulsion of immigrants and closure of the border","Past Political Experience","None","Penal proceedings","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Approximately 10 years","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 10 years","Penal proceedings","No proceedings","Policy Proposal","Acceptance of immigrants conditional on certain requisites","None","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border",10.35,-0.226514115606413
"112",785,TRUE,"R_6x2xrZu8tDzGo37","Candidate 2","Candidate 1","Candidate 1","5","2","6","2","4 - Neither agree nor disagree","4 - Neither agree nor disagree","Unemployed","Caucasian","Bachelor degree","Female",42,"Regularly","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border","Approximately 20 years","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","None","Penal proceedings","No proceedings","Welcome immigrants and organise human corridor","None","The candidate is under investigation for corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 20 years","Penal proceedings","No proceedings","Acceptance of immigrants conditional on certain requisites","None","The candidate is under investigation for corruption",13.0833333333333,-0.027908793000577
"113",762,TRUE,"R_3MfmVfM5ri8sqJ3","Candidate 1","Candidate 1","Candidate 2","5","6","5","5","5","5","Employed, full-time","Asian","Bachelor degree","Male",36,"Sometimes","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Approximately 20 years","No proceedings","Collective expulsion of immigrants and closure of the border","Past Political Experience","None","Penal proceedings","No proceedings","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Approximately 10 years","No proceedings","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 10 years","Penal proceedings","No proceedings","Policy Proposal","Welcome immigrants and organise human corridor","Approximately 10 years","The candidate is under investigation for corruption","Acceptance of immigrants conditional on certain requisites",12.7,-0.055761978487981
"114",877,TRUE,"R_2zSeBHFODVpHz3c","Candidate 1","Candidate 1","Candidate 2","7 - Strongly agree","1 - Strongly disagree","7 - Strongly agree","4 - Neither agree nor disagree","4 - Neither agree nor disagree","6","Self-employed","Asian","Bachelor degree","Male",29,"Never","Past Political Experience","Approximately 20 years","Penal proceedings","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","None","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 10 years","Penal proceedings","No proceedings","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Approximately 20 years","No proceedings","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Approximately 10 years","The candidate is under investigation for corruption","Acceptance of immigrants conditional on certain requisites",14.6166666666667,0.0835039489490382
"115",780,TRUE,"R_DMi2HustqYoCbXr","Candidate 2","Candidate 2","Candidate 1","6","2","3","5","3","5","Retired","African American","High school degree/ GED","Female",62,"Sometimes","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","None","Policy Proposal","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","Approximately 20 years","Welcome immigrants and organise human corridor","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","No proceedings","Approximately 20 years","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","The candidate is under investigation for corruption","None","Acceptance of immigrants conditional on certain requisites",13,-0.0339638333239257
"116",719,TRUE,"R_YS1R5uINhWmjSlH","Candidate 1","Candidate 2","Candidate 1","5","2","3","4 - Neither agree nor disagree","2","6","Employed, full-time","Caucasian","Bachelor degree","Male",47,"Sometimes","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","None","Policy Proposal","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","Approximately 20 years","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","Approximately 10 years","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","None","Policy Proposal","Collective expulsion of immigrants and closure of the border","The candidate is under investigation for corruption","Approximately 20 years","Collective expulsion of immigrants and closure of the border",11.9833333333333,-0.107835325268779
"117",790,TRUE,"R_30eMvl14gJYTRmm","Candidate 2","Candidate 2","Candidate 2","5","5","6","4 - Neither agree nor disagree","4 - Neither agree nor disagree","4 - Neither agree nor disagree","Employed, full-time","Caucasian","Bachelor degree","Male",35,"Sometimes","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","None","Penal proceedings","No proceedings","Welcome immigrants and organise human corridor","None","No proceedings","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites","Approximately 20 years","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 10 years","Penal proceedings","No proceedings","Acceptance of immigrants conditional on certain requisites","Approximately 10 years","No proceedings",13.1666666666667,-0.0218537526772285
"118",948,TRUE,"R_12s4sDezF2rGFi0","Candidate 1","Candidate 1","Candidate 2","7 - Strongly agree","1 - Strongly disagree","7 - Strongly agree","4 - Neither agree nor disagree","7 - Strongly agree","4 - Neither agree nor disagree","Employed, full-time","African American","High school degree/ GED","Female",38,"Sometimes","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","None","Welcome immigrants and organise human corridor","The candidate is under investigation for corruption","None","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","Past Political Experience","None","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","Approximately 10 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","None","Acceptance of immigrants conditional on certain requisites","The candidate is under investigation for corruption","None",15.8,0.169485521540589
"119",545,TRUE,"R_1kYpgyjg54qsijz","Candidate 2","Candidate 2","Candidate 2","6","2","5","4 - Neither agree nor disagree","4 - Neither agree nor disagree","6","Self-employed","Hispanic","Bachelor degree","Male",38,"Sometimes","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","None","Penal proceedings","The candidate has been convicted of corruption","Welcome immigrants and organise human corridor","None","No proceedings","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","None","Penal proceedings","The candidate is under investigation for corruption","Acceptance of immigrants conditional on certain requisites","None","No proceedings","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","None","Penal proceedings","The candidate is under investigation for corruption","Collective expulsion of immigrants and closure of the border","None","The candidate is under investigation for corruption",9.08333333333333,-0.318550728521313
"120",691,TRUE,"R_3qvCIQQ2BSTMFxN","Candidate 2","Candidate 1","Candidate 1","7 - Strongly agree","2","7 - Strongly agree","3","4 - Neither agree nor disagree","6","Retired","Caucasian","Master degree","Female",67,"Regularly","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","None","The candidate is under investigation for corruption","Welcome immigrants and organise human corridor","Approximately 20 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 10 years","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border","Approximately 20 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border","None",11.5166666666667,-0.141743551079532
"121",799,TRUE,"R_3sc7oL36CbGjHT4","Candidate 2","Candidate 1","Candidate 1","7 - Strongly agree","1 - Strongly disagree","6","3","3","6","Self-employed","Asian","Master degree","Male",52,"Regularly","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate is under investigation for corruption","Collective expulsion of immigrants and closure of the border","Approximately 20 years","The candidate is under investigation for corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate is under investigation for corruption","Acceptance of immigrants conditional on certain requisites","Approximately 10 years","The candidate has been convicted of corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","None","Penal proceedings","No proceedings","Collective expulsion of immigrants and closure of the border","Approximately 20 years","The candidate is under investigation for corruption",13.3166666666667,-0.0109546800952009
"122",738,TRUE,"R_QgkD92ZTxIUslhf","Candidate 2","Candidate 2","Candidate 1","7 - Strongly agree","2","7 - Strongly agree","2","5","6","Retired","Caucasian","High school degree/ GED","Male",64,"Sometimes","Penal proceedings","No proceedings","Past Political Experience","None","Policy Proposal","Welcome immigrants and organise human corridor","No proceedings","Approximately 20 years","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","None","Policy Proposal","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","Approximately 20 years","Welcome immigrants and organise human corridor","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","None","Policy Proposal","Collective expulsion of immigrants and closure of the border","The candidate is under investigation for corruption","None","Acceptance of immigrants conditional on certain requisites",12.3,-0.0848261720400544
"123",861,TRUE,"R_1msebHhGDVKDZo6","Candidate 1","Candidate 1","Candidate 1","7 - Strongly agree","3","7 - Strongly agree","6","2","7 - Strongly agree","Employed, full-time","Caucasian","High school degree/ GED","Male",45,"Regularly","Past Political Experience","Approximately 10 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate has been convicted of corruption","None","Collective expulsion of immigrants and closure of the border","No proceedings","Past Political Experience","Approximately 10 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate has been convicted of corruption","Approximately 20 years","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","Past Political Experience","None","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","No proceedings","Approximately 10 years","Welcome immigrants and organise human corridor","No proceedings",14.35,0.0641278199143225
"124",762,TRUE,"R_3ewOknCBixcYY4U","Candidate 1","Candidate 2","Candidate 2","7 - Strongly agree","1 - Strongly disagree","2","7 - Strongly agree","5","6","Self-employed","African American","Bachelor degree","Female",36,"Regularly","Penal proceedings","No proceedings","Past Political Experience","Approximately 20 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","The candidate is under investigation for corruption","Approximately 10 years","Collective expulsion of immigrants and closure of the border","Penal proceedings","No proceedings","Past Political Experience","Approximately 10 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","No proceedings","Approximately 20 years","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Welcome immigrants and organise human corridor","No proceedings","None","Welcome immigrants and organise human corridor",12.7,-0.055761978487981
"125",1018,TRUE,"R_1pVwQqKRRBF7nnU","Candidate 1","Candidate 2","Candidate 1","7 - Strongly agree","1 - Strongly disagree","7 - Strongly agree","1 - Strongly disagree","1 - Strongly disagree","7 - Strongly agree","Employed, full-time","Caucasian","Bachelor degree","Female",47,"Regularly","Past Political Experience","Approximately 20 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate has been convicted of corruption","Approximately 20 years","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","None","Welcome immigrants and organise human corridor","No proceedings","Past Political Experience","Approximately 20 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate has been convicted of corruption","Approximately 20 years","Collective expulsion of immigrants and closure of the border","The candidate is under investigation for corruption",16.9666666666667,0.25425608606747
"126",419,TRUE,"R_vojanCSudfI3JYt","Candidate 2","Candidate 1","Candidate 1","7 - Strongly agree","2","4 - Neither agree nor disagree","3","4 - Neither agree nor disagree","1 - Strongly disagree","Employed, full-time","Caucasian","Some college","Male",31,"Regularly","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 20 years","No proceedings","Welcome immigrants and organise human corridor","None","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","None","The candidate is under investigation for corruption","Welcome immigrants and organise human corridor","Approximately 10 years","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 10 years","The candidate is under investigation for corruption","Collective expulsion of immigrants and closure of the border","Approximately 10 years",6.98333333333333,-0.471137744669699
"127",1089,TRUE,"R_2Bgkeis0Ge0B9YE","Candidate 2","Candidate 2","Candidate 2","6","1 - Strongly disagree","4 - Neither agree nor disagree","5","3","7 - Strongly agree","Unemployed","Caucasian","Some college","Male",32,"Never","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","Approximately 20 years","Acceptance of immigrants conditional on certain requisites","No proceedings","Approximately 10 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","None","Collective expulsion of immigrants and closure of the border","No proceedings","None","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","None","Welcome immigrants and organise human corridor","No proceedings","Approximately 20 years",18.15,0.340237658659021
"128",898,TRUE,"R_3fVjajnoLrdG8Cn","Candidate 1","Candidate 1","Candidate 1","7 - Strongly agree","3","3","6","2","6","Employed, full-time","Hispanic","Bachelor degree","Female",39,"Regularly","Penal proceedings","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 10 years","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites","Approximately 10 years","Penal proceedings","No proceedings","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 10 years","The candidate is under investigation for corruption","Acceptance of immigrants conditional on certain requisites","None","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","None","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border","Approximately 10 years",14.9666666666667,0.108935118307103
"129",686,TRUE,"R_3Lcfonj5ic0JTLT","Candidate 1","Candidate 2","Candidate 1","7 - Strongly agree","2","6","5","5","6","Employed, full-time","Caucasian","Some college","Female",28,"Sometimes","Penal proceedings","No proceedings","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 20 years","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites","Approximately 10 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 20 years","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites","None","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 10 years","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border","Approximately 20 years",11.4333333333333,-0.14779859140288
